Fan,Refrigerator,AirConditioner,Television,Monitor,MotorPump,Month,City,Company,MonthlyHours,TariffRate,ElectricityBill
16,23.0,2.0,6.0,1.0,0,10,Hyderabad,Tata Power Company Ltd.,384,8.4,3225.6000000000004
19,22.0,2.0,3.0,1.0,0,5,Vadodara,NHPC,488,7.8,3806.4
7,20.0,2.0,6.0,7.0,0,7,Shimla,Jyoti Structure,416,7.7,3203.2000000000003
7,22.0,3.0,21.0,1.0,0,6,Mumbai,Power Grid Corp,475,9.2,4370.0
11,23.0,2.0,11.0,1.0,0,2,Mumbai,Ratnagiri Gas and Power Pvt. Ltd. (RGPPL),457,9.2,4204.4
13,22.0,0.0,18.0,1.0,0,6,Ratnagiri,Adani Power Ltd.,471,7.4,3485.4
23,22.0,3.0,20.0,12.0,0,5,New Delhi,Kalpataru Power,755,8.5,6417.5
22,23.0,0.0,21.0,1.0,0,12,New Delhi,Adani Power Ltd.,492,8.5,4182.0
8,20.0,2.0,8.0,1.0,0,8,New Delhi,Orient Green,546,8.5,4641.0
10,23.0,0.0,18.0,7.0,0,1,Dahej,Sterlite Power Transmission Ltd,578,7.6,4392.8
16,22.0,3.0,14.0,1.0,0,6,Ahmedabad,Neueon Towers / Sujana Towers Ltd.,450,7.9,3555.0
5,19.0,2.0,20.0,1.0,0,12,Mumbai,Sterlite Power Transmission Ltd,493,9.2,4535.599999999999
10,23.0,1.0,22.0,1.0,0,9,Hyderabad,KEC International,492,8.4,4132.8
11,22.0,3.0,19.0,1.0,0,11,Ahmedabad,Indowind Energy,565,7.9,4463.5
18,22.0,1.0,3.0,12.0,0,7,Noida,Unitech Power Transmission Ltd.,414,8.2,3394.7999999999997
21,23.0,3.0,5.0,1.0,0,12,Nagpur,Bonfiglioli Transmission Pvt. Ltd.,594,8.9,5286.6
9,21.0,3.0,6.0,1.0,0,2,Chennai,SJVN Ltd.,349,8.8,3071.2000000000003
17,22.0,0.0,3.0,1.0,0,4,Dahej,Tata Power Company Ltd.,355,7.6,2698.0
12,23.0,0.0,18.0,1.0,0,3,New Delhi,Neueon Towers / Sujana Towers Ltd.,467,8.5,3969.5
13,22.0,1.0,21.0,12.0,0,11,New Delhi,"Maha Transco – Maharashtra State Electricity Transmission Co, Ltd.",646,8.5,5491.0
23,23.0,0.0,15.0,1.0,0,8,Mumbai,Sterlite Power Transmission Ltd,476,9.2,4379.2
20,22.0,3.0,7.0,12.0,0,2,Ratnagiri,L&T Transmission & Distribution,659,7.4,4876.6
23,22.0,2.0,14.0,1.0,0,7,Faridabad,Guj Ind Power,631,8.1,5111.099999999999
9,22.0,3.0,3.0,1.0,0,4,Faridabad,Jyoti Structure,395,8.1,3199.5
19,22.0,2.0,11.0,1.0,0,3,Noida,Guj Ind Power,480,8.2,3935.9999999999995
19,23.0,0.0,21.0,1.0,0,12,Nagpur,Torrent Power Ltd.,678,8.9,6034.2
22,23.0,2.0,11.0,1.0,0,8,Faridabad,Reliance Energy,664,8.1,5378.4
7,22.0,2.0,16.0,1.0,0,8,Nagpur,GE T&D India Limited,515,8.9,4583.5
21,22.0,0.0,19.0,1.0,0,7,Faridabad,Reliance Energy,509,8.1,4122.9
23,22.0,0.0,17.0,1.0,0,9,Faridabad,NTPC Pvt. Ltd.,679,8.1,5499.9
23,23.0,3.0,18.0,1.0,0,4,Hyderabad,KEC International,564,8.4,4737.6
